1,DontStopMeNow,Bhagwan Parshuram Institute of Technology
2,AutoTransformers,Indian Institute of Technology - Roorkee
3,TEAM DEAD,"National Institute of Technology, Jamshedpur"
4,JigglyM0M0,"Indian Institute of Information Technology Design and Manufacturing, Kurnool"
5,Silicon Avengers,"Indian Institute of Information Technology, Una"
6,borderline,Indian Institute of Technology - Hyderabad
7,Jai_Shree_Ram,"Indian Institute of Information Technology, Lucknow"
8,Maximum Span*ing 3,Techno Main Salt Lake (formerly known as Techno India Salt Lake)
9,MLE,ABES Engineering College
10,BruteForce,Pimpri Chinchwad College of Engineering
11,EulerMagic,"K. J. Somaiya College of Engineering, Vidyavihar, Mumbai"
12,FIGHTforAC,Pune Institute of Computer Technology
13,Silent 3lers,"Dhirubhai Ambani Institute of Information and Communication Technology, Gandhinagar"
14,codingKnights,"Institute of Engineering & Management, Kolkata"
15,Works_For_Me,National Institute of Technology Goa
16,Ascending Alliance,Vellore Institute of Technology
17,BinarySearch,"University Institute of Engineering & Technology, CSJMU, Kanpur"
18,RECmates,"National Institute of Technology, Durgapur"
19ChalteHai,National Institute of Technology Patna
20,towrist,University School of Information Technology
21,ISDC,Indian Institute of Information Technology Guwahati
22,seg_fault,Indian Institute of Technology Tirupati
23,"UIET, PU","University Institute of Engineering and Technology, Panjab University"
24,Bruh,The LNM Institute of Information Technology
25,kesarPista,International Institute of Information Technology - Naya Raipur
26,UnionFind,CVR College of Engineering
27,KawaiiKomderz,National Institute of Technology Calicut
28,Code Monk,"Madhav Institute of Technology & Science, Gwalior"
29,sponsored by telegram,Maharaja Surajmal Institute of Technology
30,Triehards,"Indian Institute of Engineering Science and Technology, Shibpur"
31,Just Use Bitset,International Institute of Information Technology - Bangalore
32,LeetCode>>CodeForces,Dayananda Sagar College of Engineering
33,One,Indian Institute of Technology Goa
34,read_it_carefully,Graphic Era University
35,Sirius,Sardar Patel Institute of Technology
36,11thHour,"Kalinga Institute Of Industrial Technology,Bhubaneswar"
37,Kick bit,Thapar Institute of Engineering & Technology
38,Mummy_Bula_Rhi,Madan Mohan Malaviya University of Technology-Gorakhpur
39,pmon gang,Chennai Mathematical Institute
40,maniACs,Indian Institute of Technology - Gandhinagar
41,Avengers: Age of Adhoc,"BITS-Pilani, Goa Campus"
42,whyNoPyPy,Vasavi College of Engineering
43,Code_smashers,KIET GROUP OF INSTITUTIONS
44,MAA,Punjab Engineering College Chandigarh
45,The Binary Battalion,"College of Engineering, Anna University, Chennai"
46,NITS_QUARKS,"National Institute of Technology, Silchar"
47,!Lucky,Kamla Nehru Institute of Technology
48,Noob_123z,Lovely Professional University
49,Bytecode Velocity,Chitkara Institute of Engineering and Technology
50,Aloo Paratha,"ManipalÂ Institute of Technology, Manipal"
51,Proof,"MIT Academy of Engineering, Alandi"
52,BinaryBrain,"Birla Institute of Technology, Jaipur"
53,GigaByteMe,"School of Engineering and Applied Science, Ahmedabad University"
54,75% Attendance,JSS Academy of Technical Education Noida
55,Mavericks_FTW,Thadomal Shahani Engineering College
56,Team Unemployed,Maharaja Agrasen Institute of Technology
57,chatgptNaukriChor,University Institute of Technology - RGPV
58,Algorithm_Avengers,Veer Surendra Sai University of Technology
59,Bits&Byts,Sri Eshwar College of Engineering
60,O(1),VIT Bhopal University
61,AlgoQube,PSG College of Technology
62,AGR Trichy Coders,Indian Institute of Information Technology Tiruchirappalli
63,Out of Bounds,"Gayatri Vidya Parishad College of Engineering, Visakhapatnam"
64,dpbois_,"Ajay Kumar Garg Engineering College, Ghaziabad"
65,PLA_NRM,"Indian Institute of Information Technology, Surat"
66,TEAMX,"CMR Institute of Technology, Bangalore"
67,O_Tree_kal_aana,"YMCA University of Science and Technology, Faridabad"
68,CodeBreakers,M.S. Ramaiah Institute of Technology
69,We Create Problems,"National Institute of Technology, Trichy"
70,BAD,"Walchand College of Engineering, Sangli"
71,Team Rocket,Vivekanand Education Society's Institute of Technology
72,always_trie,Vidyalankar Institute of Technology
73,Three of a Kind,Indian Institute of Technology - Madras
74,Paradigm Shift,Indian Institute of Technology - Indore
75,AuditPass,Indian Institute of Technology - Delhi
76,facelessmen3.0,Indian Institute of Technology - Kanpur
77,Maanzar,Indian Institute of Technology - Patna
78,Ab_Ki_Baar,Indian Institute of Technology - Kharagpur
79,fightFight,International Institute of Information Technology - Hyderabad
80,:(){ :|:& };:,"BITS-Pilani, Hyderabad Campus"
81,Chilli Potato,Indian Institute of Technology - Delhi
82,Chennai Sharks,Sri Sivasubramaniya Nadar College of Engineering
83,ohio_trio,Delhi Technological University
84,theLastDance,Indian Institute of Technology - Kanpur
85,Triumvirate,Indian Institute of Technology - Patna
86,Pratyahara,Indian Institute of Technology - Jodhpur
87,319,"Indian Institute of Technology (Banaras Hindu University), Varanasi"
88,Noobsters,"Indian Institute of Technology, Palakkad"
89,[insert name],Indian Institute of Technology - Delhi
90,DeS_FaTE,Indian Institute of Technology - Guwahati
91,O(0),"National Institute of Technology Karnataka, Surathkul"
92,OutOfPractice,Indian Institute of Technology - Patna
93,BForBruteForce,Jadavpur University
94,HYPe,Indian Institute of Information Technology - Allahabad
95,WAs_Only,Netaji Subhash University Of Technology
96,code_kal_kar_lenge,International Institute of Information Technology - Hyderabad
97,BITter Truth,IIT Bhubaneswar
98,StaticProgrammers,Indian Institute of Technology - Kharagpur
99,GetSetGo,IIIT-Delhi
100,ProofByOEIS,Motilal Nehru National Institute of Technology - Allahabad
101,Sokudo,"Shri Ramdeobaba College of Engineering and Management, Nagpur"
102,Wild Drum,Maulana Azad National Institute of Technology Bhopal
103,XCeeded,Indian Institute of Information Technology Pune
104,Kuch bhi,Indian Institute of Information Technology Sri City
105,Red Black Three,National Institute of Technology Rourkela
106,BootyFirstSearch,Indian Institute of Technology - Ropar
107,Algorithm Avengers,"National Institute of Technology, Warangal"
108,jaggu's bois,"Birla Institute of Technology & Science, Pilani Campus"
109,Non-IITians,"Birla Institute of Technology, Mesra"
110,Lazy Homosapiens,"Nirma Institute of Technology, Ahmedabad"
111,Tree Idiots,Institute of Engineering & Technology - Devi Ahilya Univ.
112,!expert,National Institute of Technology Hamirpur
113,snakOverflow,VIT University Chennai Campus
114,Logic Crushers,"PDPM Indian Institute of Information Technology Design & Manufacturing, Jabalpur"
115,SAY it Loudly,Indian Institute of Information Technology Nagpur
116,Nuanced Newbies,L. D. College of Engineering
117,Push_Back,MANAV RACHNA UNIVERSITY
118,XoRiers,Pandit Deendayal Petroleum University
119,Aalsi,"Shri Govindram Seksaria Institute of Technology and Science, Indore"
120,Yorozuya Forever,Indian Institute of Technology - Madras
121,regretISMa,"Indian Institute of Technology (ISM), Dhanbad"
122,"The Alpha, the Beta and the Debugging Omega",PES University
