1,Segment Fault,"Birla Institute of Technology, Mesra"
2,Ternary Titans,L. D. College of Engineering
3,Pratyahara,Indian Institute of Technology - Jodhpur
4,XLR8,Sardar Vallabhbhai National Institute of Technology
5,Bitmask Buggers,Indian Institute of Technology - Ropar
6,Thats what C said,"National Institute of Technology, Durgapur"
7,YPK-BSPK,"Amrita School of Engineering, Kollam"
8,Accepted_AHA,"National Institute of Technology, Silchar"
9,Maximum Spanning Three,Techno Main Salt Lake (formerly known as Techno India Salt Lake)
10,OR 1=1;-- -,"Amrita School of Engineering, Coimbatore"
11,KiloByteMe,"School of Engineering and Applied Science, Ahmedabad University"
12,Mamanshubari,Netaji Sushas University of Technology
13,Another_unknown_team,Indian Institute of Information Technology Pune
14,WhyPyPyWhy?,Vellore Institute of Technology
15,RMA,Indian Institute of Technology - Hyderabad
16,Works_For_Me,National Institute of Technology Goa
17,Jetha_ke_Jaabaz,"YMCA University of Science and Technology, Faridabad"
18,Team_7,Madan Mohan Malaviya University of Technology-Gorakhpur
19,Atlas,"Kalinga Institute Of Industrial Technology,Bhubaneswar"
20,Yeh Sab Dogalapan Hai,National Institute of Technology Calicut
21,The Backbenchers,"Visvesvaraya National Institute of Technology, Nagpur"
22,The Fly,International Institute of Information Technology Bhubaneswar
23,Last_trie,Indian Institute of Information Technology Design and Manufacturing Kancheepuram
24,SHH,INDIAN INSTITUTE OF INFORMATION TECHNOLOGY RANCHI
25,BlackHat_Seniors,"Indian Institute of Information Technology and Management, Gwalior"
26,Greedy_or_dp?,KLE Technological University
27,SingChana,"Indian Institute of Information Technology, Surat"
28,CodeWarriors,Sastra University
29,Trinity_coders,Indian Institute of Technology Tirupati
30,EulerMagic,"K. J. Somaiya College of Engineering, Vidyavihar, Mumbai"
31,akatsuki,Pandit Deendayal Petroleum University
32,lemon,Indian Institute of Technology - Bhilai
33,SWANS OF SARASWATI,"Saraswati College of Engineering, Navi Mumbai"
34,Binary Brain,Amrita Vishwa Vidyapeetham
35,One_Last_Try,Atharva College of Engineering
36,Binary brains,Maharaja Agrasen Institute of Technology
37,80HazarKiCTC,Indian Institute of Information Technology Kottayam
38,AlphaQ,Jaypee Institute of Information Technology
39,algo_pundits,Mahindra University Ecole Centrale
40,will_try_our_bestt,Indian Institute of Information Technology Vadodara
41,Team RD,Indian Institute of Information Technology Sri City
42,pmon gang,Chennai Mathematical Institute
43,Dynamic Coders,Matrusri Engineering College
44,Quantum Dudes,"National Institute of Technology Puducherry, Karaikal"
45,Kalaunery,"Rajiv Gandhi Institute of Technology, Mumbai"
46,Actual_Girl Fanclub,Rajiv Gandhi Institute Of Petroleum Technology
47,CrazyCoders,Pimpri Chinchwad College of Engineering
48,KernelPanic,Indian Institute of Information Technology Vadodara-International Campus Diu
49,coding_GREP,RVR & JC College of Engineering
50,WeAreComing,"National Institute of Technology, Kurukshetra"
51,KLeaNCode,PSG College of Technology
52,ABESIT@ICPC,ABES Institute of Technology
53,The Akatsuki,"Madhav Institute of Technology & Science, Gwalior"
54,3bits,Vidyavardhini's College of Engineering and Technology
55,NameLimitExceeded,"CMR INSTITUTE OF TECHNOLOGY, HYDERABAD"
56,ChefForces,Sir M. Visvesvaraya Institute of Technology
57,Below Jobs,"Chandigarh College of Engineering and Technology, Chandigarh"
58,Nooglers,"Chandigarh Group of Colleges, Landran, Mohali (Pb)"
59,THE SPA,Vidyalankar Institute of Technology
60,Team Trio,Anil Neerukonda Institute of Technology and Sciences
61,Trident,Kalyani Government Engineering College
62,PGP,Indian Institute of Information Technology -Delhi
63,LazyPropagators,"Indian Institute of Technology (Banaras Hindu University), Varanasi"
64,bubble_wrap,International Institute of Information Technology - Hyderabad
65,Aao Coding Kre,"Indian Institute of Technology (ISM), Dhanbad"
66,Three GOATs in a Boat,Indian Institute of Technology - Indore
67,Shinigami OptimEyes,Indian Institute of Technology - Madras
68,iterators_express,Indian Institute of Information Technology - Allahabad
69,ladaiLadai,International Institute of Information Technology - Hyderabad
70,EliteHackers,Indian Institute of Technology - Kharagpur
71,GUG,International Institute of Information Technology - Bangalore
72,respawn,Delhi Technological University
73,dark_fantasy,"Birla Institute of Technology, Mesra"
74,RankSlayerCorp,Indian Institute of Technology - Patna
75,ac_to_ace_it,Delhi Technological University
76,Baba_God_Hai,International Institute of Information Technology - Bangalore
77,SpongeBots,"National Institute of Technology, Silchar"
78,chomders,"Indian Institute of Technology, Palakkad"
79,Orthocoders BPH,"Dhirubhai Ambani Institute of Information and Communication Technology, Gandhinagar"
80,CFEXPERTS,Indian Institute of Technology - Kanpur
81,regretISMa,"Indian Institute of Technology (ISM), Dhanbad"
82,Lazy Propagators,Sardar Vallabhbhai National Institute of Technology
83,Lets Code It,Motilal Nehru National Institute of Technology - Allahabad
