aw1,Pentateuch,Ghulam Ishaq Khan Institute of Engineering Sciences and Technology,
aw2,Trojans 1,NU-FAST Karachi,
aw3,SignBiT,National University of Computer and Emerging Sciences,
aw4,DU_NotStrongEnough,University of Dhaka,
aw5,BUET Potatoes,Bangladesh University of Engineering and Technology,
aw6,JU_kzvd4729,Jahangirnagar University,
aw7,SUST_Carnage,Shahjalal University of Science and Technology,
aw8,Team_Robust,University of Barisal,
aw9,RUET_Aftermath,Rajshahi University of Engineering & Technology,
aw10,KUET_Effervescent,Khulna University of Engineering & Technology,
aw11,CoU_Unpredictable_3207,Comilla University,
aw12,MBSTU_Durbeen,Mawlana Bhashani Science & Technology University,
aw13,IUT_Reversehash,Islamic University of Technology,
aw14,RU_404,University of Rajshahi,
aw15,AUST_Onslaught,Ahsanullah University of Science and Technology,
aw16,IST_neverGiveUp,Institute of Science and Technology,
aw17,HSTU_TREENITY,Hajee Mohammad Danesh Science and Technology University,
aw18,JnU-The_Last_Phase,"Jagannath University, Bangladesh",
aw19,PSTU_Renaissance,Patuakhali Science and Technology University,
aw20,CUET_Sapphire,Chittagong University of Engineering & Technology,
aw21,AIUB_Captured,American International University – Bangladesh,
aw22,Zero^Infinity,Dhaka University of Engineering & Technology – Gazipur,
aw23,DIU_Depuradores,Daffodil International University,
aw24,MIST_FrostByte,Military Institute of Science and Technology,
aw25,BSMRSTU_DreamsOfSuccess,Bangabandhu Sheikh Mujibur Rahman Science and Technology University,
aw26,OR’1’=’1′,–   –,"Amrita School of Engineering, Coimbatore"
aw27,seize_means_of_software_production,"Birla Institute of Technology   and Science, Pilani Campus",
aw28,Segment Fault,"Birla Institute of Technology,   Mesra",
aw29,AlgoManiaX,"BITS-Pilani, Goa Campus",
aw30,PalindORme,"BITS-Pilani, Hyderabad Campus",
aw31,respawn,Delhi Technological University(Formerly DCE),
aw32,Pay Attention,"Dhirubhai Ambani Institute of Information and Communication Technology, Gandhinagar",
aw33,PGP,IIIT-Delhi,
aw34,AlphaZer0,IIT Bhubaneswar,
aw35,Another_unknown_team,Indian Institute of   Information Technology Pune,
aw36,Team Blast,"Indian Institute of Information   Technology,Una",
aw37,Runtime Terrors,Indian Institute of Technology – Bombay,
aw38,Khauff,Indian Institute of Technology   – Delhi,
aw39,Dunno,Indian Institute of Technology – Delhi,
aw40,AuditFail,Indian Institute of Technology – Delhi,
aw41,Paradigm Shift,Indian Institute of Technology   – Indore,
aw42,SIMLEX_BruteForce,Indian Institute of Technology – Kanpur,
aw43,Kobi Kende Fellen,"Academy of Technology, Hooghly",
aw44,Three of a Kind,Indian Institute of Technology   – Madras,
aw45,strawberryparfait,Indian Institute of Technology – Madras,
aw46,Ujjwal ke bharose,Indian Institute of Technology   – Mandi,
aw47,Triumvirate73,Indian Institute of Technology   – Patna,
aw48,dpbois,Indian Institute of Technology   – Roorkee,
aw49,Kaala Khatta,Indian Institute of Technology – Roorkee,
aw50,rng(weed),Indian Institute of Technology – Varanasi,
aw51,Convex Chull,"Indian Institute of Technology   (ISM), Dhanbad",
aw52,Pratyahara,Indian Institute Of Technology   Jodhpur,
aw53,Tree Idiots,Institute of Engineering and   Technology – Devi Ahilya Univ.,
aw54,FLogic,International Institute of Information   Technology – Hyderabad,
aw55,ladaiLadai,International Institute of   Information Technology – Hyderabad,
aw56,Cobra,"National Institute of   Technology Karnataka, Surathkul",
aw57,2Golu1Tonu,"National Institute of   Technology, Trichy",
aw58,DropTheBayesUnofficial,Nirma University,
aw59,PastGlory,"PDPM Indian Institute of Information   Technology Design & Manufacturing, Jabalpur",
aw60,RuntimeEXception,Punjab Engineering College Chandigarh,
aw61,Seirin,Sri Sivasubramaniya Nadar   College of Engineering,
aw62,Iran Team 1,Iran Institute 1,
aw63,Iran Team 2,Iran Institute 2,
aw64,Iran Team 3,Iran Institute 3,
aw65,Afghanistan Team 1,Afghan Institute 1,
aw66,Afghanistan Team 2,Afghan Institute 2,
aw67,Afghanistan Team 3,Afghan Institute 3,
aw68,Test Team 1,Do Not Use,
aw68,Test Team 2,Do Not Use,
aw68,Test Team 3,Do Not Use,
