1,XoRiers,Pandit Deendayal Petroleum University
8,Pay Attention,"Dhirubhai Ambani Institute of Information and Communication Technology, Gandhinagar"
9,BruteForce,"Birla Institute of Technology, Mesra"
10,Simplifiers,Army Institute of Technology
12,Beat_Yourself_Three Musketeers,Birla Vishvakarma Mahavidyalaya Engineering College
13,Royapuram Rockers,Sri Sivasubramaniya Nadar College of Engineering
14,2Golu1Tonu,"National Institute of Technology, Trichy"
15,Runtime Terrors,Indian Institute of Technology Bombay
18,Works_For_Me,National Institute of Technology Goa
30,On Call,Indian Institute of Information Technology Pune
40,Elite Trojans,Devang Patel Institute of Advance Technology and Research
41,#define_lose_win,Thadomal Shahani Engineering College
46,Code_Manga,Indian Institute of Technology - Madras
61,Seh lenge thoda ,Indian Institute of Technology Kharagpur 
64,Shinigami OptimEyes ,Indian Institute of Technology - Madras
66,Kuch_bhi,"BITS-Pilani, Hyderabad Campus"
68,GitMustWin,Sardar Patel Institute of Technology
73,That's what C said,"National Institute of Technology, Durgapur"
77,bubble_wrap,International Institute of Information Technology - Hyderabad
79,Three of a Kind,Indian Institute of Technology - Madras
80,FIGHTforAC,"Pune Institute of Computer Technology, Pune"
84,Red Black Three,National Institute of Technology Rourkela
96,25_din_me_rating_double,IIT Gandhinagar
97,just like TT,Indian Institute of Technology - Kharagpur
98,GrindCroww,"Indian Institute of Information Technology, Surat"
99,MAN,"Indian Institute of Technology, Tirupati "
101,Yeh Sab Dogalapan Hai,"National Institute of Technology, Calicut"
107,WhyPyPyWhy?,Vellore Institute of Technology
109,FLogic,International Institute of Information Technology - Hyderabad
113,OutOfPractice,Indian Institute of Technology - Patna
120,Ternary Titans,L. D. College of Engineering
121,TreeIdiots,Indian Institute of Technology - Varanasi
123,SAB_MOH_MAYA_H,"Indian Institute of Information Technology, Guwahati "
124,Smart Bug Eliminators,MIT World Peace University
125,error404found,"National Institute of Technology Karnataka, Surathkul"
127,naamNhiAata,Sardar Vallabhbhai National Institute of Technology
129,lemon,Indian Institute of Technology Bhilai
130,RMA,Indian Institute of Technology - Hyderabad
131,ThankYouForYourInterest,"School of Engineering and Applied Science, Ahmedabad"
